,ISBN,Title,Author,Year,Publisher,synopsis,subjects,genres,language,pages,binding,image_url,overview,similarity_score,read
7409,0192827618,Sense and Sensibility (World's Classics),Jane Austen,1990,Oxford University Press,"Austen's first published novel centers on the experiences of two dissimilar sisters who undergo comparable experiences in the loss of the men they love. With a cast of characters satirically drawn, Sense and Sensibility remains a classic example of Austen's skill.","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), ENGLAND_FICTION, SISTERS_FICTION","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), ENGLAND_FICTION, SISTERS_FICTION",en,400.0,Paperback,https://images.isbndb.com/covers/17533923482256.jpg,,0.7588826,False
7559,1853260282,Emma (Wordsworth Classics),Jane Austen,1997,NTC/Contemporary Publishing Company,"<p>With an Introduction and Notes by Dr Nicola Bradbury, University of Reading.</p> <p>Jane Austen teased readers with the idea of a 'heroine whom no one but myself will much like', but Emma is irresistible. 'Handsome, clever, and rich', Emma is also an 'imaginist', 'on fire with speculation and foresight'. She sees the signs of romance all around her, but thinks she will never be married.</p> <p>Her matchmaking maps out relationships that Jane Austen ironically tweaks into a clearer perspective. Judgement and imagination are matched in games the reader too can enjoy, and the end is a triumph of understanding.</p>","Fiction, Classics, Literary, Women","Fiction, Classics, Literary",en,358.0,Paperback,https://images.isbndb.com/covers/23158723482847.jpg,,0.7566589,False
367,0140620427,Sense and Sensibility (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,"Jane Austen's first charming novel. Marianne and Elinor Dashwood couldn't be more different. Marianne wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love - and its threatened loss - the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love.","Literature & Fiction, Classics, Genre Fiction, Historical, Romance, Regency","Literature & Fiction, Classics, Genre Fiction",en,373.0,Paperback,https://images.isbndb.com/covers/1006273482238.jpg,,0.7537508,False
13209,1853260169,Sense and Sensibility (Wordsworth Classics),Jane Austen,1997,NTC/Contemporary Publishing Company,"<i><p>Introduction and Notes by Professor Stephen Arkin, San Francisco University.</p></i> <i><p>'Young women who have no economic or political power must attend to the serious business of contriving material security'. Jane Austen's sardonic humour lays bare the stratagems, the hypocrisy and the poignancy inherent in the struggle of two very different sisters to achieve respectability.</p></i> <i><p>Sense and Sensibility is a delightful comedy of manners in which the sisters Elinor and Marianne represent these two qualities. Elinor's character is one of Augustan detachment, while Marianne, a fervent disciple of the Romantic Age, learns to curb her passionate nature in the interests of survival.</p></i> <i><p>This book, the first of Austen's novels to be published, remains as fresh a cautionary tale today as it ever was.</p></i>","Fiction, Classics, Literary, Family Life, Siblings","Fiction, Classics, Literary",en,373.0,Paperback,https://images.isbndb.com/covers/23157493482847.jpg,,0.7431352,False
12729,0486295559,Persuasion (Dover Thrift Editions),Jane Austen,1997,Dover Publications,"<p>First published in 1818, <i>Persuasion</i> was Jane Austen's last work. Its mellow character and autumnal tone have long made it a favorite with Austen readers. Set in Somersetshire and Bath, the novel revolves around the lives and love affair of Sir Walter Elliot, his daughters Elizabeth, Anne, and Mary, and various in-laws, friends, suitors, and other characters, In Anne Elliot, the author created perhaps her sweetest, most appealing heroine.<br>At the center of the novel is Anne's thwarted romance with Captain Frederick Wentworth, a navy man Anne met and fell in love with when she was 19. At the time, Wentworth was deemed an unsuitable match and Anne was forced to break off the relationship. Eight years later, however, they meet again. By this time Captain Wentworth has made his fortune in the navy and is an attractive ""catch."" However, Anne is now uncertain about his feelings for her. But after various twists and turns of fortune, the novel ends on a happy note.<br>In <i>Persuasion</i>, as in such novels as <i>Sense and Sensibility</i>, <i>Pride and Prejudice</i>, and <i>Emma</i>, Austen limned the plight of young women who could escape the constraints of family life only by marrying, and suggest the foolishness of women who believed they were free and not dependent on the financial and social resources of men. At the same time, <i>Persuasion</i> offers an ironic and subtle paean to the true love that enables one woman to rise above straitened economic circumstances and the stifling social conventions that restricted women to narrowly circumscribed lives in the common sitting room.<br>Sure to appeal to admirers of Jane Austen, <i>Persuasion</i> will delight any reader with its finely drawn characters, gentle satire, and charming re-creation of the genteel world of the 19th-century English countryside.","Fiction, Classics, World Literature, England, 19th Century, Romance, Women","Fiction, Classics, World Literature",en,192.0,Paperback,https://images.isbndb.com/covers/3205393482361.jpg,,0.7412993,False
7777,0192833588,Sense and Sensibility (Oxford World's Classics),Jane Austen,1998,Oxford University Press,"Jane Austen's first published novel, Sense and Sensibility is a wonderfully entertaining tale of flirtation and folly that revolves around two starkly different sisters, Elinor and Marianne Dashwood. While Elinor is thoughtful, considerate, and calm, her younger sister is emotional and wildly romantic. Both are looking for a husband, but neither Elinor's reason nor Marianne's passion can lead them to perfect happiness-as Marianne falls for an unscrupulous rascal and Elinor becomes attached to a man who's already engaged.&&& Startling secrets, unexpected twists, and heartless betrayals interrupt the marriage games that follow. Filled with satiric wit and subtle characterizations, Sense and Sensibility teaches that true love requires a balance of reason and emotion.","Fiction, Classics, Literary, Family Life, Siblings, Literary Criticism","Fiction, Classics, Literary",en,343.0,Paperback,https://images.isbndb.com/covers/17593633482256.jpg,,0.73867345,False
3269,0760700435,Sense and sensibility,Jane Austen,1996,Barnes & Noble,"Jane Austen's first published novel, Sense and Sensibility is a wonderfully entertaining tale of flirtation and folly that revolves around two starkly different sisters, Elinor and Marianne Dashwood. While Elinor is thoughtful, considerate, and calm, her younger sister is emotional and wildly romantic. Both are looking for a husband, but neither Elinor's reason nor Marianne's passion can lead them to perfect happiness-as Marianne falls for an unscrupulous rascal and Elinor becomes attached to a man who's already engaged.&&& Startling secrets, unexpected twists, and heartless betrayals interrupt the marriage games that follow. Filled with satiric wit and subtle characterizations, Sense and Sensibility teaches that true love requires a balance of reason and emotion.","Fiction, Literary, Family Life, Siblings","Fiction, Literary, Family Life",en,356.0,Hardcover,https://images.isbndb.com/covers/22932513482458.jpg,,0.72954404,False
5672,0553584898,Almost a Princess,ELIZABETH THORNTON,2003,Bantam,"From nationally bestselling author Elizabeth Thornton comes a sensuous new tale of true love and fiery romance—under the most intriguing of circumstances.<br> <b><br></b>Case Devere, the steely-eyed earl of Castleton, has agreed to help Special Branch track down a notorious killer—one who just happens to be his archenemy. But he finds more than he bargained for when his search leads him to Jane Mayberry, a beautiful bluestocking passionately devoted to the cause of women’s rights—and to protecting her privacy. As irresistible as she is uncooperative, the spirited Jane arouses Case’s interest—as well as his worst suspicions—when she quietly disappears. Determined to find the one woman who may hold the key to his investigation—and to his heart—Case goes after her.<br> <br> Though their sparring belies an attraction too powerful to deny, Jane knows there can never be anything between herself and the strong-willed earl. For she bears a dark and terrifying secret that must remain hidden—even at the cost of a broken heart. As Case fights for the love of the one woman who has ever mattered to him, they are swept into a deadly game by a killer who won’t stop until he has punished them both.","Fiction, Romance, Historical, Regency, Suspense, Action & Adventure","Fiction, Romance, Historical",en,367.0,Mass Market Paperback,https://images.isbndb.com/covers/2039843482385.jpg,,0.7290822,False
6190,0553213342,Sense and Sensibility (Bantam Classics),Jane Austen,1995,Bantam Books,"In 1811, Jane Austen’s first published work, <b>Sense and Sensibility</b><i>,</i> marked the debut of England’s premier novelist of manners. Believing that “3 or 4 families in a country village is the very thing to work on,” she created a brilliant tragicomedy of flirtation and folly. Romantic walks through lush Devonshire and genteel dinner parties at a stately manor draw two pretty sisters into the schemes and manipulations of landed gentry determined to marry wisely and well. Neither sense nor sensibility can guarantee happiness for either—as romantic Marianne falls prey to a dangerous rascal, and reasonable Elinor loses her heart to a gentleman already engaged. Wonderfully entertaining yet subtle and probing in its characterizations, <b>Sense and Sensibility</b> richly displays the supreme artistry of a great English novelist.","Fiction, Classics, Literary, Romance, Historical, Victorian","Fiction, Classics, Literary",en,352.0,Mass Market Paperback,https://images.isbndb.com/covers/26410123482384.jpg,,0.72494566,False
8301,0140434259,Sense and Sensibility,Jane Austen,1999,Penguin USA (Paper),"'Miss Dashwood had a delicate complexion, regular features, and a remarkably pretty figure. Marianne was still handsomer. Her form, though not so correct as her sister's ... was more striking' As the title of Jane Austen's first published novel suggests, the difference between two sisters, Elinor and Marianne Dashwood, lies not only in their appearance but also in their temperament. Yet Sense and Sensibility not only contrasts Elinor's good sense, her readiness to observe social forms and Marianne's impulsive candor, her warm but excessive sensibility; it also highlights their shared predicament in the face of a competitive marriage market. The sisters' parallel experience of love, and its threatened loss, causes both to readjust and question their own values. Jane Austen's satirical powers of observation and expression spare no one in this lively study of the constraints placed on gentry women in the eighteenth century. Ros Ballaster's introduction to this new Penguin Classics edition discusses Sense and Sensibility as domestic drama and as critique of the wider aesthetic, social and political concerns of Romanticism.","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), ENGLAND_FICTION, SISTERS_FICTION","BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR), ENGLAND_FICTION, SISTERS_FICTION",en,346.0,Paperback,https://images.isbndb.com/covers/27230323482237.jpg,,0.72315955,False
12268,1551664461,Third Sister,Julia Barrett,1998,Mira,"In Sense and Sensibility Jane Austen, that so long mistaken avatar of Victorian propriety while actually its wittiest and subtlest critic, wrote of Margaret Dashwood, the third sister: Margaret, the other sister, was a good-humored, well-disposed girl; but as she had already imbibed a good deal of Marianne's romance, without having much of her sense, she did not, at thirteen, bid fair to equal her sisters at a more advanced period of life. At the same time that she so faithfully, with love and respect, evokes Jane Austen's style and characters and ambience, Julia Barrett bids fair to show Margaret's creator happily wrong in her estimation of Margaret's at first vulnerable, then shrewd and winning potential, the exercise of which makes for the substance of this remarkable novel on its own. But of course, Jane Austen couldn't know of Margaret's metamorphosis. Or perhaps she did, and meant one day to say so herself. Whatever, The Third Sister is an imaginative, creative continuation of Sense and Sensibility, featuring a Margaret Dashwood, the third sister, once so underestimated, who turns out to fool even her creator.","Fiction, Historical, Romance","Fiction, Historical, Romance",en,297.0,Mass Market Paperback,https://images.isbndb.com/covers/12380003482740.jpg,,0.7208828,False
189,0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books,"<b>BOOK THREE OF THE GALLAGHERS OF ARDMORE TRILOGY<br><br>Walk with #1 <i>New York Times</i> bestselling author Nora Roberts in the shadow of an ancient tower and hear a story of dreams fulfilled and wishes come true…</b><br><br>Darcy Gallagher has always believed in the pull of fate, the magic of legend…and the importance of money. She longs to find a rich man who will sweep her away—into a world filled with glamour and adventure, and the exotic life that is her destiny…<br><br>A wealthy businessman with Irish blood, Trevor Magee has come to Ardmore to build a theater—and to uncover the secrets hidden in his family’s past. He thought he had given up on love long ago, but Darcy Gallagher tempts him like no woman ever has. She’s gorgeous and intelligent, and she knows what she wants—and he’s more than willing to give it to her. But as their mutual attraction flares into passion, they look into their hearts—and find out what happens when you truly believe.<br><br><b>Don't miss the other books in the Gallaghers of Ardmore trilogy<br><i>Jewels of the Sun</i><br><i>Tears of the Moon</i></b>","Fiction, Romance, Contemporary, Fantasy, Women","Fiction, Romance, Contemporary",en,400.0,Mass Market Paperback,https://images.isbndb.com/covers/10677413482371.jpg,,0.7161405,False
729,0451187903,Sense and Sensibility,Jane Austen,1995,Signet Book,"Published in 1811, Sense and Sensibility has delighted generations of readers with its masterfully crafted portrait of two sisters, Elinor and Marianne Dashwood. Forced to leave their home after their father's death, Elinor and Marianne must rely on making good marriages as their means of support. But unscrupulous cads, meddlesome matriarchs, and various guileless and artful women impinge on their chances for love and happiness. The novelist Elizabeth Bowen wrote, ""The technique of ÝJane Austen's novels ̈ is beyond praise....Her mastery of the art she chose, or that chose her, is complete."" This Modern Library Paperback Classics edition contains a new Introduction by Pulitzer Prize finalist David Gates, in addition to new explanatory notes.","Fiction, Literary, Media Tie-In, Family Life, Siblings","Fiction, Literary, Media Tie-In",en,317.0,Mass Market Paperback,https://images.isbndb.com/covers/17244093482348.jpg,,0.7145792,False
13820,0140430105,Emma (Penguin Classics),Jane Austen,1966,Penguin Books,"""Vital, interesting, complex and predisposed to play a power game with other people's emotions, Emma is none the less one of Jane Austen's immortal creations. Dominating the novel as she dominates the small provincial world of Highbury, her forays into the matchmaking arena bring her up sharply against the follies of her egotism and selfishness. The consequent crisis, her bitter regrets and the happy resolution are plaotted with Jane Austen's incomparable art in this sharp and gloriously sparkling comedy of self-deceit and self-discovery.""--Back of book.","Fiction, Classics, Literary, Women","Fiction, Classics, Literary",en,471.0,Paperback,https://images.isbndb.com/covers/27188803482237.jpg,,0.7121012,False
9326,1551665743,Mackenzie'S Mountain,Linda Howard,2000,Mira,"Mary Elizabeth Potter is a spinster with no illusions about love. But she is a good teacher and wants Wolf Mackenzie's son back in school. And after one heated confrontation, she knows father and son have changed her life forever. Still paying for a crime he didn't commit, Wolf Mackenzie has a chip on his shoulder. But Mary Elizabeth Potter doesn't see him as the dangerous half-breed the town has branded him. She sees him as a good, decent, honest man. A man she could love....","Fiction, Romance, Contemporary","Fiction, Romance, Contemporary",en,248.0,Mass Market Paperback,https://images.isbndb.com/covers/12392803482740.jpg,,0.70857525,False
2918,0140431020,Lady Susan ; The Watsons ; Sanditon (Penguin English Library),Jane Austen,1975,Penguin Books,"<p><b>A Penguin Classics edition of three lesser-known Austen works, including <i>Lady Susan</i>, the basis for Whit Stillman's feature film <i>Love and Friendship</i> starring Kate Beckinsale and Chloë Sevigny<br><br></b>These three short works show Austen experimenting with a variety of different literary styles, from melodrama to satire, and exploring a range of social classes and settings. The early epistolary novel <i>Lady Susan</i> depicts an unscrupulous coquette, toying with the affections of several men. In contrast,<i> The Watsons</i> is a delightful fragment, whose spirited heroine -­ Emma -­ finds her marriage opportunities limited by poverty and pride. Meanwhile <i>Sanditon,</i> set in a seaside resort, offers a glorious cast of hypochondriacs and spectators, treated by Austen with both amusement and scepticism.<br><br>For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.</p>","Fiction, Classics, Short Stories (single author), Romance, Historical, Victorian","Fiction, Classics, Short Stories (single author)",en,240.0,Paperback,https://images.isbndb.com/covers/27198023482237.jpg,,0.70789117,False
5663,0553562746,Fanta C,Sandra Brown,1993,Fanfare,"<b>#1 <i>New York Times </i>bestselling author Sandra Brown has created a sensation with her contemporary novels. In <i>Fanta C</i> she has written a tender, funny, and deeply sensual story about a woman caught between the needs of her children, her career, and her own passionate heart.</b><br>  <br> Elizabeth Burke’s days are filled with the business of running an elegant boutique and caring for her two small children. But her nights are long and empty since the death of her husband two years ago, and she spends them dreaming of the love and romance that might have been. Then Thad Randolph steps into her life—a man right out of her intimate fantasies.<br>  <br> Elizabeth, who doesn’t believe in fairy tales and knows all too well that happy endings only happen in books, wishes she could convince herself that friendship is all she wants from Thad. But the day will come when she’ll finally have to make a choice—to remain forever true to her memories or to let go of the past and risk loving once more.<br>  <br> <b>“Ms. Brown’s larger-than-life heroes and heroines make you believe all the warm, wonderful, wild things in life.”—<i>Rendezvous</i></b>","Fiction, Romance, Contemporary, Women, Suspense","Fiction, Romance, Contemporary",en,256.0,Mass Market Paperback,https://images.isbndb.com/covers/1818283482385.jpg,,0.7045851,False
12263,0440226015,More than a Mistress,MARY BALOGH,2001,Dell,"<p><b>In this captivating novel, Mary Balogh, the premier writer of Regency romance, invites you into a world of scandal and seduction, of glittering high society and intrigue, as an arrogant duke does the unthinkable—he falls in love with his mistress.</b><br> <br>She races onto the green, desperate to stop a duel. In the melée, Jocelyn Dudley, Duke of Tresham, is shot. To his astonishment, Tresham finds himself hiring the servant as his nurse. Jane Ingleby is far too bold for her own good. Her blue eyes are the sort a man could drown in—were it not for her impudence. She questions his every move, breaches his secrets, touches his soul. When he offers to set her up in his London town house, love is the last thing on his mind.<br><br>Jane tries to pretend it’s strictly business, an arrangement she’s been forced to accept in order to conceal a dangerous secret. Surely there is nothing more perilous than being the lover of such a man. Yet as she gets past his devilish façade and sees the noble heart within, she knows the greatest jeopardy of all, a passion that drives her to risk everything on one perfect month with the improper gentleman who thinks that love is for fools.</p>","Fiction, Romance, Historical, Regency, Victorian","Fiction, Romance, Historical",en,384.0,Mass Market Paperback,https://images.isbndb.com/covers/19968413482344.jpg,,0.7006757,False
3461,0679769447,What Girls Learn,Karin Cook,1998,Vintage Books USA,"<i>A touching novel about girls and their mothers, sibling rivalry and kinship, and the mysterious tug between love and antagonism that lies at the heart of every family.  </i><br>  <br> The year Tilden turns twelve, her mother, Frances, falls in love and moves the family north.  Soon the watchful, wise Tilden and her rebellious younger sister, Elizabeth, are navigating a new household amidst the awkward and alluring terrain of adolescence.  But when Frances suddenly discovers a lump in her breast, her daughters must confront the unpredictablility of her illness.  With heartbreak and humor, these characters exposes a world of secrets and learn to survive in the face of life's contradictions.   <br>  <br> This moving, emotionally stirring debut novel will appeal to fans of Anna Quidlen's <b>One True Thing</b> and Mona Simpson's <b>Anywhere But Here.</b> Funny, haunting, and unflinchingly truthful on every page, <b>What Girls Learn</b> is a book that will be read--and cherished-- for years to come.","Fiction, Women, Family Life, Literary","Fiction, Women, Family Life",en,320.0,Paperback,https://images.isbndb.com/covers/24763482430.jpg,,0.69928646,False
8300,0451526384,Persuasion,Jane Austen,1996,Signet Classics,"Persuasion celebrates romantic constancy in an era of turbulent change. Written as the Napoleonic Wars were ending, the novel examines how a woman can at once remain faithful to her past and still move forward into the future. Anne Elliot seems to have given up on present happiness and has resigned herself to living off her memories. More than seven years earlier she complied with duty: persuaded to view the match as imprudent and improper, she broke off her engagement to a naval captain with neither fortune, ancestry, nor prospects. However, when peacetime arrives and brings the Navy home, and Anne encounters Captain Wentworth once more, she starts to believe in second chances. Jane Austen's last completed novel features a heroine much older and wiser than her predecessors in earlier books, and presents a more intimate and sober tale of a love found long after such happiness had been deemed hopeless. This edition includes an appendix giving the original ending of Persuasion.","Fiction, Classics, Literary","Fiction, Classics, Literary",en,285.0,Paperback,https://images.isbndb.com/covers/20628883482348.jpg,,0.6975482,False
