ISBN,Title,Author,Year,Publisher,synopsis,subjects,genres,language,pages,binding,image_url,overview
0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,"In a Carmelite monastery outside present-day Los Angeles, life goes on in a manner virtually un-changed for centuries. Sister John of the Cross has spent years there in the service of God. And there, she alone experiences visions of such dazzling power and insight that she is looked upon as a spiritual master. <br>But Sister John's visions are accompanied by powerful headaches, and when a doctor reveals that they may be dangerous, she faces a devastating choice. For if her spiritual gifts are symptoms of illness rather than grace, will a ""cure"" mean the end of her visions and a soul once again dry and searching? <br>This is the dilemma at the heart of Mark Salzman's spare, astonishing new novel. With extraordinary dexterity, the author of the best-selling Iron & Silk and The Soloist brings to life the mysterious world of the cloister, giving us a brilliantly realized portrait of women today drawn to the rigors of an ancient religious life, and of one woman's trial at the perilous intersection of faith and reason. <br>Lying Awake is a novel of remarkable empathy and imagination, and Mark Salzman's most provocative work to date.","Fiction, Literary, Psychological, Religious, City Life","Fiction, Literary, Psychological",en,181.0,Hardcover,https://images.isbndb.com/covers/17744653482321.jpg,
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.<br><br><br> Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.<br><br><br>","Fiction, Classics, Legal","Fiction, Classics, Legal",en,384.0,Mass Market Paperback,https://images.isbndb.com/covers/24644553482346.jpg,
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,"<b><b>#1 <i>NEW YORK TIMES </i>BESTSELLER • From the author of the runaway phenomenon <i>Unbroken </i>comes a universal underdog story about the horse who came out of nowhere to become a legend.</b> <br></b><br><b>“Fascinating . . . Vivid . . . A first-rate piece of storytelling, leaving us not only with a vivid portrait of a horse but a fascinating slice of American history as well.”—<i>The New York Times</i></b><br><br><b>A <i>KIRKUS REVIEWS </i>BEST NONFICTION BOOK OF THE CENTURY</b><br><br>Seabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit’s fortunes:<br><br>Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon.","Biography & Autobiography, Sports, History, United States, 20th Century, Sports & Recreation, Animal Sports, Horse Racing","Biography & Autobiography, Sports, History",en,448.0,Paperback,https://images.isbndb.com/covers/23507003482347.jpg,
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,"When Turtle witnesses a freak accident at the Hoover Dam, her mother responds and a man's life is saved, but their lives are changed by the incident","FICTION_FAMILY LIFE_GENERAL, MOTHERS AND DAUGHTERS_FICTION, OKLAHOMA_FICTION, INDIANS OF NORTH AMERICA_FICTION","FICTION_FAMILY LIFE_GENERAL, MOTHERS AND DAUGHTERS_FICTION, OKLAHOMA_FICTION",en,343.0,Hardcover,https://images.isbndb.com/covers/10970073482209.jpg,
0061099686,Downtown,Anne Rivers Siddons,1995,HarperTorch,"<p>The year is 1966, a time of innocence, possibility, and freedom. And for Atlanta, the country, and one woman making her way in a changing world, nothing will be the same . . .</p> <p>After an airless childhood in Savannah, Smoky O'Donnell arrives in Atlanta, dazzled and chastened by this hectic young city on the rise. Her new job as a writer with the city's Downtown magazine introduces her to many unforgettable people and propels her into the center of momentous events that will irrevocably alter her heart, her career, and her world.</p>","Fiction, Romance, Contemporary","Fiction, Romance, Contemporary",en,512.0,Mass Market Paperback,https://images.isbndb.com/covers/20286763482209.jpg,
0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,"A secret Arctic experiment turns into a frozen nightmare when a team of scientists, stranded on a drifting iceberg with a massive explosive charge, battles the elements for survival, only to discover that one of them is a murderer. Reissue.","Fiction, Thrillers, Suspense","Fiction, Thrillers, Suspense",en,416.0,Mass Market Paperback,https://images.isbndb.com/covers/2019863482385.jpg,
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,"<b>From the “Queen of Suspense” Mary Higgins Clark, a gripping and twisting mystery featuring a television news reporter who finds herself drawn into a terrifying web of treachery, where nothing is as it seems and the truth may be too devastating to pursue...</b><br><br>The murdered woman could have been her double. When reporter Meghan Collins sees the sheet-wrapped corpse in a New York City hospital, she feels as if she's staring into her own face. And Meghan has troubles enough already without this bizarre experience. Nine months ago, her much-loved father's car spun off a New York bridge. Now, investigators are saying that there's no trace of his car in the river, and they suspect he faked his own death.<br> <br>With frightening speed, links start to appear between Meghan's father and her dead lookalike. Meghan may be in danger herself, but she's determined to find the truth to the mystery. In a nightmare journey spiraling from New York to Connecticut to Arizona, Meghan finds that the truth can sometimes be deadly.","Fiction, Mystery & Detective, Traditional, Psychological, Thrillers, Suspense, Crime","Fiction, Mystery & Detective, Traditional",en,320.0,Mass Market Paperback,https://images.isbndb.com/covers/5473563482427.jpg,
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,"His birth was marked by wonder and tragedy.<br> <br> He sees beauty and terror beyond our deepest dreams.<br> <br> His story will change the way you see the world.<br> <br> On the heels of his #1 bestseller<b>False Memory</b>, Dean Koontz brings together his most compelling themes and an unforgettable cast of characters to create what is perhaps the most thrilling and emotionally powerful work of his critically acclaimed career.<br> <br> Bartholomew Lampion is born on a day of tragedy and terror that will mark his family forever. All agree that his unusual eyes are the most beautiful they have ever seen. On this same day, a thousand miles away, a ruthless man learns that he has a mortal enemy named Bartholomew. He embarks on a relentless search to find this enemy, a search that will consume his life. And a girl is born from a brutal rape, her destiny mysteriously linked to Barty and the man who stalks him.<br> <br> At the age of three, Barty Lampion is blinded when surgeons remove his eyes to save him from a fast-spreading cancer. As he copes with his blindness and proves to be a prodigy, his mother counsels him that all things happen for a reason and that every person’s life has an effect on every other person’s, in often unknowable ways.<br> <br> At thirteen, Bartholomew regains his sight. How he regains it, why he regains it, and what happens as his amazing life unfolds and entwines with others results in a breathtaking journey of courage, heart-stopping suspense, and high adventure.","Fiction, Thrillers, Suspense","Fiction, Thrillers, Suspense",en,729.0,Mass Market Paperback,https://images.isbndb.com/covers/2018263482385.jpg,
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,"<b>Patricia Cornwell’s novels of big-city police have taken this classic genre to a new level. Now, with this #1 <i>New York Times</i> bestselling novel, she outdoes herself, with a wry tale of life and turmoil behind the blue wall.<br><br></b>Chaos breaks loose when the governor of Virginia orders that speed traps be painted on all streets and highways, and warns that speeders will be caught by monitoring aircraft flying overhead. But the eccentric island of Tangier, fourteen miles off the coast of Virginia in Chesapeake Bay, responds by declaring war on its own state. Judy Hammer, newly installed as the superintendent of the Virginia State Police, and Andy Brazil, a state trooper and Hammer’s right hand and confidant, find themselves at their wits’ end as they try to protect the public from the politicians—and vice versa—in this pitch-perfect, darkly comic romp.","Fiction, Thrillers, Suspense, Crime, Humorous","Fiction, Thrillers, Suspense",en,432.0,Mass Market Paperback,https://images.isbndb.com/covers/9966203482339.jpg,
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,"<b>Lieutenant Eve Dallas must take down a group of terrorists who use a computer virus to kill in this thriller in the #1 <i>New York Times</i> bestselling In Death series.<br><br></b>Louie Cogburn had spent three days holed up in his apartment, staring at his computer screen. His pounding headache was unbearable—like spikes drilling into his brain. And it was getting worse. Finally, when someone knocked at his door, Louie picked up a baseball bat, opened the door, and started swinging…<br><br>The first cop on the scene fired his stunner twice and Louie died instantly. Detective Eve Dallas has taken over the investigation, but there’s nothing to explain the man’s sudden rage or death. The only clue is a bizarre message left on his computer screen: Absolute Purity Achieved.<br><br>And when a second man dies under nearly identical circumstances, Dallas starts racking her brain for answers and for courage to face the impossible…that this might be a computer virus able to spread from machine to man…","Fiction, Romance, Suspense, Mystery & Detective, Women Sleuths, Police Procedural","Fiction, Romance, Suspense",en,368.0,Mass Market Paperback,https://images.isbndb.com/covers/10000243482339.jpg,
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,"Instead of nostalgia, Binchy evokes contemporary life; instead of Christmas homilies, she offers truth; and instead of sugarplums, she brings us the nourishment of holidays that precipitate change, growth, and new beginnings. The stories in This Year It Will Be Different powerfully evoke many lives - step-families grappling with exes, long-married couples faced with in-law problems, a wandering husband choosing between ""the other woman"" and his wife, a child caught in grown-up tugs-of-war - during the one holiday when feelings cannot be easily hidden.","Fiction, Short Stories (single author), Religion, Holidays, Christmas & Advent","Fiction, Short Stories (single author), Religion",en,259.0,Paperback,https://images.isbndb.com/covers/19943973482344.jpg,
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,"Book 1 in the best-selling Left Behind series is available once again in mass paper. Airline pilot Captain Rayford Steele guides his terror-filled 747 back to the ground with more than 100 seats empty except for clothes, jewelry, eyeglasses, shoes, and socks. He and Cameron “Buck” Williams, who had been on Rayford's plane, launch a frantic search for the truth.","FICTION, Fantasy, Fiction, Religious, Science Fiction, Christian, Futuristic","FICTION, Fantasy, Fiction",en,342.0,Paperback,https://images.isbndb.com/covers/24867313482487.jpg,
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,"Michael was in a hurry. He was scrambling up the ladder at Drake & Sweeney, a giant D.C. firm with eight hundred lawyers. The money was good and getting better; a partnership was three years away. He was a rising star with no time to waste, no time to stop, no time to toss a few coins into the cups of panhandlers. No time for a conscience. But a violent encounter with a homeless man stopped him cold. Michael survived; his assailant did not. Who was this man? Michael did some digging, and learned that he was a mentally ill veteran who'd been in and out of shelters for many years. Then Michael dug a little deeper, and found a dirty secret, and the secret involved Drake & Sweeney. The fast track derailed; the ladder collapsed. Michael bolted from the firm and took a top-secret file with him. He landed in the streets, an advocate for the homeless, a street lawyer. And a thief.","Fiction, Mystery & Detective, Thrillers, Suspense, Legal","Fiction, Mystery & Detective, Thrillers",en,452.0,Mass Market Paperback,https://images.isbndb.com/covers/19965303482344.jpg,
0380715899,A Soldier of the Great War,Mark Helprin,1992,Avon Books,"A Roman student is torn from his carefree life when World War I breaks out, and fifty years later, recounts the triumphs and tragedies of his existence to an illiterate factory worker.","Fiction, Historical, 20th Century, World War I, Literary, War & Military, Coming of Age, Family Life","Fiction, Historical, 20th Century",en,723.0,Paperback,https://images.isbndb.com/covers/14668763482323.jpg,
0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket,"A love story and an epic of the frontier, Lonesome Dove is the grandest novel ever written about the last, defiant wilderness of America. Richly authentic, beautifully written, Lonesome Dove is a book to make readers laugh, weep, dream and remember. Now a blockbuster television event. Copyright © Libri GmbH. All rights reserved.","Fiction, Historical, Westerns","Fiction, Historical, Westerns",en,843.0,Mass Market Paperback,https://images.isbndb.com/covers/2820083482427.jpg,
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,Laurel Leaf,"""This first novel is, on several counts, one of the most exciting YA books to appear recently. Staples is so steeped in her story and its Pakistani setting that the use of a first-person voice for a desert child rings authentic--the voice is clear, consistent, and convincing. Shabanu and her sister are to marry brothers as soon as they all come of age. But she will eventually lose her betrothed and be promised to a wealthy landowner to settle a feud. The richness and tragedy of a whole culture are reflected in the fate of this girl's family. Through an involving plot Staples has given readers insight into lives totally different from their own, but into emotions resoundingly familiar.""--(starred) Bulletin, Center for Children's Books.","CHILDREN'S FICTION, GIRLS_FICTION","CHILDREN'S FICTION, GIRLS_FICTION",en,256.0,Mass Market Paperback,https://images.isbndb.com/covers/433383482430.jpg,
0345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,Ballantine Books,"Dr. Carl Sagan Takes Us on a Great Reading Adventure, Offering his Vivid and Startling Insight Into the Brain of Man and Beast, the Origin of Human Intelligence, the Function of our Most Haunting Legends -- and Their Amazing Links to Recent Discoveries. Book jacket.","Medical, Neuroscience, Psychology, Cognitive Psychology & Cognition, Science, Life Sciences, Genetics & Genomics","Medical, Neuroscience, Psychology",en,271.0,Mass Market Paperback,https://images.isbndb.com/covers/25228243482310.jpg,
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,"""Breathing Lessons"" is the wonderfully moving and surprising story of Ira and Maggie Moran. She's impetuous, harum-scarum, easygoing; he's competent, patient, seemingly infallible. They've been married for 28 years. Now, as they drive from their home in Baltimore to the funeral of Maggie's best friend's husband, Anne Tyler shows us all there is to know about a marriage - the expectations, the disappointments, the way children can create storms in a family, the way a wife and husband can fall in love all over again, the way nothing really changes. Anne Tyler's funny, unpredictable and endearing characterizations make ""Breathing Lessons"" truly entertaining.","FICTION_GENERAL, BALTIMORE (MD.)_FICTION, MARRIED PEOPLE_FICTION","FICTION_GENERAL, BALTIMORE (MD.)_FICTION, MARRIED PEOPLE_FICTION",en,352.0,Paperback,https://images.isbndb.com/covers/9314623482339.jpg,
0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),"""Brilliant....Each story is a fascinating vignette, and together they they weave the reader through a world where the Moon Lady can grant any wish, where a child, promised in marriage at two and delivered at 12, can, with cunning, free herself; where a rich man's concubine secures her daughter's future by killing herself, and where a woman can live on, knowing she has lost her entire life.""<br>WASHINGTON POST BOOK WORLD<br>A stunning literary achievement, THE JOY LUCK CLUB explores the tender and tenacious bond between four daughters and their mothers. The daughters know one side of their mothers, but they don't know about their earlier never-spoken of lives in China. The mothers want love and obedience from their daughters, but they don't know the gifts that the daughters keep to themselves. Heartwarming and bittersweet, this is a novel for mother, daughters, and those that love them.","Fiction, Sagas, Literary","Fiction, Sagas, Literary",en,332.0,Paperback,https://images.isbndb.com/covers/7618603482474.jpg,
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company,"<p>Introduction and Notes by Gene M. Moore, Universiteit van Amsterdam.</p> <p>Generally regarded as the pre-eminent work of Conrad's shorter fiction, Heart of Darkness is a chilling tale of horror which, as the author intended, is capable of many interpretations. Set in the Congo during the period of rapid colonial expansion in the 19th century, the story deals with the highly disturbing effects of economic, social and political exploitation of European and African societies and the cataclysmic behaviour this induced in some individuals.</p> <p>The other two stories in this book - Youth and The End of the Tether - concern the sea and those who sail upon it, a genre in which Conrad reigns supreme.</p>","Fiction, Classics, Literary, Psychological, Short Stories (single author)","Fiction, Classics, Literary",en,219.0,Flexibound,https://images.isbndb.com/covers/23179883482847.jpg,
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,"<p>Introduction and Notes by Michael Irwin, Professor of English Literature, University of Kent at Canterbury.</p> <p>Set in Hardy's Wessex, Tess is a moving novel of hypocrisy and double standards. Its challenging sub-title, A Pure Woman, infuriated critics when the book was first published in 1891, and it was condemned as immoral and pessimistic.</p> <p>It tells of Tess Durbeyfield, the daughter of a poor and dissipated villager, who learns that she may be descended from the ancient family of d'Urbeville. In her search for respectability her fortunes fluctuate wildly, and the story assumes the proportions of a Greek tragedy. It explores Tess's relationships with two very different men, her struggle against the social mores of the rural Victorian world which she inhabits and the hypocrisy of the age.</p> <p>In addressing the double standards of the time, Hardy's masterly evocation of a world which we have lost, provides one of the most compelling stories in the canon of English literature, whose appeal today defies the judgement of Hardy's contemporary critics.</p>","Fiction, Classics, Literary","Fiction, Classics, Literary",en,446.0,Unknown Binding,https://images.isbndb.com/covers/23156433482847.jpg,
0060938412,The Accidental Virgin,Valerie Frankel,2003,Avon Trade,"<p> From: Venus, Goddess of Love, 120 Main, Mt. Olympus </p> <p> To: Stacy Temple, lapsed temptress </p> <p> Stacy, Stacy, Stacy. </p> <p> You were so promising at the beginning: Sexy, smart, personable and funny. Great on dates and really great afterward-if you know what I mean. But this is a sad state of affairs; or, in your case, non-affairs! It's been nearly an entire year and you haven't had your way with even ONE eligible male. You've been working so hard concocting sexy lingerie for Thongs.com -- and really, Stacy, if that little pink velvet bustier didn't put you in the mood, I don't know what to say! -- that you haven't even tried to be coaxed out of your own thong.com! </p> <p> Are you listening, Stacy? Seven days to find the perfect man -- or else! </p> <p> Happy hunting! </p>","Fiction, Women","Fiction, Women",en,288.0,Paperback,https://images.isbndb.com/covers/18674023482209.jpg,
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,"<b>For Taoists everywhere, the <i>New York Times</i> bestseller from the author of <i>The Te of Piglet.<br> <br></i>Happy 90th birthday (10/14/16), to one of the world's most beloved icons of literature, Winnie-the-Pooh! <i><br> <br></i></b>The how of Pooh? The Tao of who? The Tao of Pooh!?! In which it is revealed that one of the world's great Taoist masters isn't Chinese--or a venerable philosopher--but is in fact none other than that effortlessly calm, still, reflective bear. A. A. Milne's Winnie-the-Pooh! While Eeyore frets, and Piglet hesitates, and Rabbit calculates, and Owl pontificates, Pooh just is.<br> <br> And that's a clue to the secret wisdom of the Taoists.","Children's Books, Humor & Entertainment, Humor, Religion, Literature & Fiction, Classics, Reference, Politics & Social Sciences, Philosophy, History & Schools of Thought","Children's Books, Humor & Entertainment, Humor",en,158.0,Paperback,https://images.isbndb.com/covers/23562543482237.jpg,
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,"Seabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit's fortunes: <br>Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon. <br>Author Laura Hillenbrand brilliantly re-creates a universal underdog story, one that proves life is a horse race. <p>""From the Hardcover edition.""","Biography & Autobiography, History, United States, 20th Century, Sports & Recreation, Animal Sports, Horse Racing","Biography & Autobiography, History, United States",en,453.0,Paperback,https://images.isbndb.com/covers/27275953482310.jpg,
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,"Read years ago that it was not the responsibility of parents to pave the road for their children, but to provide a road map. That's how I hoped he or she would use these mind and heart reflections.","Body, Mind & Spirit, Religion, Christian Living, Inspirational, Self-Help, Personal Growth, Happiness","Body, Mind & Spirit, Religion, Christian Living",en,160.0,Paperback,https://images.isbndb.com/covers/24874063482742.jpg,
0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,"&quot;Starship Troopers&quot; is a classic novel by one of science fiction's greatest writers of all time and is now a Tri-Star movie. In one of Heinlein's most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the universe -- and into battle with the Terran Mobile Infantry against mankind's most frightening enemy.","Fiction, Science Fiction, Action & Adventure, Military","Fiction, Science Fiction, Action & Adventure",en,263.0,Paperback,https://images.isbndb.com/covers/7458333482345.jpg,
