ISBN,Mean_Rating,Title,Author,Year,Publisher
0020442300,3.4347826086956523,The Magician's Nephew,C. S. Lewis,1970.0,MacMillan Publishing Company.
0020442408,1.7857142857142858,Prince Caspian,C. S. Lewis,1970.0,MacMillan Publishing Company.
0020442505,1.96875,The Silver Chair,C. S. Lewis,1970.0,MacMillan Publishing Company.
0020442602,2.9375,Voyage of the Dawn Treader,C. S. Lewis,1970.0,MacMillan Publishing Company.
0020446500,2.1481481481481484,Z for Zachariah,Robert C. O'Brien,1987.0,Simon Pulse
0020449313,2.4761904761904763,The Yearling (Scribner Classics),Marjorie Kinnan Rawlings,1988.0,Simon Pulse
0020518501,3.2941176470588234,For Whome the Bell Tolls  (REISSUE) (A Scribner Classic),Ernest Hemingway,1987.0,Scribner Paper Fiction
0020518609,4.6,Short Stories of Ernest Hemingway (A Scribner classic),Ernest Hemingway,1987.0,Simon & Schuster
0020518706,3.736842105263158,The Sun Also Rises (A Scribner classic),Ernest Hemingway,1982.0,Simon & Schuster
0020519001,2.0,A Farewell to Arms (A Scribner Classic),Ernest Hemingway,1987.0,Simon & Schuster
0020532105,2.8636363636363638,CRY THE BELOVED COUNTRY (Scribner Classic),Alan Paton,1987.0,Scribner
0020545509,2.090909090909091,The Daughter of Time,Josephine Tey,1988.0,Simon & Schuster
0020811853,1.75,POSTCARDS,E. Annie Proulx,1993.0,Scribner Paper Fiction
0020868308,2.125,"Mere Christianity: A revised and enlarged edition, with a new introduction, of the three books, The case for Christianity, Christian behaviour, and Beyond personality",C. S Lewis,1984.0,Macmillan Pub. Co
002086910X,2.5,OUT OF THE SILENT PLANET,C.S. Lewis,1987.0,Scribner
002089130X,1.894736842105263,On Death & Dying,Kubler Elisabeth Ross,1970.0,Simon &amp; Schuster
002411510X,4.833333333333333,Walden Two (Trade Book),B. F. Skinner,1976.0,Prentice Hall
0025196359,3.5,BARBARA BUSH : A Memoir,Barbara Bush,1994.0,Scribner
002542730X,3.0993377483443707,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994.0,John Wiley & Sons Inc
0028604032,3.1818181818181817,The New York Public Library Science Desk Reference (The New York Public Library Series),Patricia Barnes-Svarney,1995.0,MacMillan Publishing Company.
0028604199,3.2388059701492535,Once upon a More Enlightened Time: More Politically Correct Bedtime Stories,James Finn Garner,1995.0,MacMillan Publishing Company.
0028604202,3.6470588235294117,Politically Correct Holiday Stories: For an Enlightened Yuletide Season,James Finn Garner,1995.0,John Wiley & Sons Inc
0044409494,4.166666666666667,Hollywoodn't: A Queer Postcard Book,Laurence Jaugey-Paget,1995.0,HarperSanFrancisco
0060000961,2.8,Windtalkers,Max A. Collins,2001.0,HarperEntertainment
0060001445,1.0526315789473684,"Her Highness, My Wife",Victoria Alexander,2002.0,Avon
0060001453,1.9142857142857144,Love With the Proper Husband (Avon Historical Romance),Victoria Alexander,2003.0,Avon
0060001801,1.6428571428571428,When Night Falls,Cait London,2002.0,Avon
0060002050,3.6296296296296298,On a Wicked Dawn (Cynster Novels),Stephanie Laurens,2002.0,Avon Books
0060002069,2.269230769230769,The Lady Chosen,Stephanie Laurens,2003.0,Avon Books
0060002077,2.263157894736842,A Gentleman's Honor,Stephanie Laurens,2003.0,Avon Books
0060002492,2.3225806451612905,Amazonia,James Rollins,2003.0,Avon Books
006000438X,3.888888888888889,The Death of Vishnu: A Novel,Manil Suri,2002.0,Perennial
006000469X,4.142857142857143,"Engaged to Die : A Death on Demand Mystery (Hart, Carolyn G)",Carolyn Hart,2003.0,William Morrow
0060005424,3.7142857142857144,Lirael: Daughter of the Clayr,Garth Nix,2002.0,HarperTrophy
0060005548,1.65,Beyond Suspicion,James Grippando,2003.0,HarperTorch
0060007192,4.642857142857143,Lemony Snicket: The Unauthorized Autobiography,Lemony Snicket,2002.0,HarperCollins
0060007575,3.1818181818181817,"In Sunlight, in a Beautiful Garden : A Novel",Kathleen Cambor,2002.0,Perennial
0060007788,4.071428571428571,Finding Fish: A Memoir,Antwone Q. Fisher,2001.0,Perennial
006000780X,2.0,Boy Still Missing : A Novel,John Searles,2002.0,Perennial
0060008024,2.5185185185185186,Angels,Marian Keyes,2002.0,William Morrow
0060008032,2.086021505376344,Angels,Marian Keyes,2003.0,HarperTorch
0060008725,3.1666666666666665,Tishomingo Blues: A Novel,Elmore Leonard,2002.0,William Morrow & Company
0060008776,2.1875,Pagan Babies,Elmore Leonard,2002.0,HarperTorch
0060008865,3.1,Do No Harm,Gregg Hurwitz,2002.0,William Morrow
0060008873,2.1538461538461537,Do No Harm,Gregg Hurwitz,2003.0,HarperTorch
0060009241,1.3541666666666667,See Jane Score (Avon Romance),Rachel Gibson,2003.0,Avon
006000925X,1.8,Daisy's Back in Town,Rachel Gibson,2004.0,Avon
006000942X,3.090909090909091,How to Read Literature Like a Professor : A Lively and Entertaining Guide to Reading Between the Lines,Thomas C. Foster,2003.0,Perennial Currents
0060011912,2.4210526315789473,Small Town,Lawrence Block,2003.0,HarperTorch
006001203X,2.933333333333333,Dr. Atkins' New Diet Revolution,Robert C. Atkins,2001.0,Avon Books
0060012781,4.0,A Cook's Tour : Global Adventures in Extreme Cuisines,Anthony Bourdain,2002.0,Ecco
0060012897,1.0588235294117647,Sheltering Rain,Jojo Moyes,2003.0,HarperTorch
0060013117,3.769230769230769,Night Watch,Terry Pratchett,2002.0,HarperCollins
0060013125,3.8125,Night Watch,Terry Pratchett,2003.0,HarperTorch
006001315X,3.75,"Monstrous Regiment (Pratchett, Terry)",Terry Pratchett,2003.0,HarperCollins
0060014342,1.7272727272727273,In the Wake of the Plague: The Black Death and the World It Made,Norman Cantor,2002.0,Perennial
0060080841,3.142857142857143,The Stepford Wives,Ira Levin,2002.0,Perennial
0060081597,3.1333333333333333,"Dr. Atkins' New Diet Revolution, New and Revised Edition",Robert C. Atkins,2002.0,Perennial Currents
0060081961,3.9,Once Upon a Town: The Miracle of the North Platte Canteen,Bob Greene,2002.0,William Morrow
006008216X,1.7272727272727273,Get Shorty,Elmore Leonard,2002.0,HarperTorch
0060083255,3.227272727272727,Ties That Bind: A Novel,Phillip Margolin,2004.0,HarperTorch
0060083298,3.12,The Dominant Blonde,Alisa Kwitney,2002.0,Avon Trade
0060083948,2.275,Tishomingo Blues,Elmore Leonard,2002.0,HarperTorch
0060084405,2.6153846153846154,Bread Alone : A Novel,Judith R. Hendricks,2002.0,Perennial
0060084456,2.6363636363636362,Chasing Rumi: A Fable About Finding the Heart's True Desire,Roger Housden,2002.0,HarperSanFrancisco
006008460X,2.9565217391304346,Cheaper by the Dozen (Perennial Classics),Frank B. Gilbreth,2002.0,Perennial
0060085444,1.8208955223880596,She Went All the Way (Avon Light Contemporary Romances),Meggin Cabot,2002.0,Avon
0060085452,4.5,Boy Meets Girl,Meg Cabot,2004.0,Avon Trade
0060086246,3.962962962962963,Last Chance Saloon,Marian Keyes,2003.0,Perennial
0060086386,2.625,Filthy Rich,Dorothy Samuels,2002.0,Avon Trade
0060086661,1.1,Lily Dale: The True Story of the Town that talks to the Dead,Christine Wicker,2003.0,HarperSanFrancisco
0060090367,2.7142857142857144,Watermelon,Marian Keyes,2002.0,Perennial
0060090375,3.064516129032258,Lucy Sullivan Is Getting Married,Marian Keyes,2002.0,Perennial
0060090383,3.2142857142857144,Rachel's Holiday,Marian Keyes,2002.0,Perennial
0060092130,2.0,Dance of Seduction (Avon Romantic Treasures),Sabrina Jeffries,2003.0,Avon
0060092645,1.7878787878787878,My Favorite Bride,Christina Dodd,2002.0,Avon
0060092653,1.6428571428571428,Scandalous Again,Christina Dodd,2003.0,Avon
0060092661,1.9130434782608696,One Kiss From You,Christina Dodd,2003.0,Avon
0060092963,4.133333333333334,Adventures of a Scottish Heiress,Cathy Maxwell,2003.0,Avon
0060094397,1.1764705882352942,Dale Brown's Dreamland: Razor's Edge (Dreamland (Harper Paperback)),Dale Brown,2002.0,Avon Books
0060094850,1.4,The Torn Skirt,Rebecca Godfrey,2002.0,Perennial
006009527X,2.8,Fire Lover: A True Story,Joseph Wambaugh,2002.0,William Morrow
0060096195,3.6470588235294117,The Boy Next Door,Meggin Cabot,2002.0,Avon Trade
0060096209,2.7083333333333335,A Little Help from Above,Saralee Rosenberg,2002.0,Avon Trade
0060097469,2.769230769230769,Dancing in My Nuddy-Pants : Even Further Confessions of Georgia Nicolson (Confessions of Georgia Nicolson),Louise Rennison,2003.0,HarperTempest
0060097825,2.4615384615384617,Zoya's Story: An Afghan Woman's Struggle for Freedom,John Follain,2002.0,William Morrow
0060098538,1.6,Black Silk (Avon Romance),Judith Ivory,2002.0,Avon
0060099089,2.727272727272727,Among the Heroes: United Flight 93 and the Passengers and Crew Who Fought Back,Jere Longman,2002.0,HarperCollins Publishers
0060139145,1.7692307692307692,"The Gulag Archipelago, 1918-1956 : An Experiment in Literary Investigation I-II",Alexander Solzhenitsyn,1974.0,Harpercollins
0060152583,4.0,Unbearable Lightness of Being,Milans Kundera,1984.0,Harpercollins
0060156732,2.4545454545454546,The Search for Signs of Intelligent Life in the Universe,Jane Wagner,1986.0,Harpercollins
006015957X,0.5555555555555556,Roseanne: My Life As a Woman,Roseanne,1989.0,Harpercollins
0060161582,3.1666666666666665,The Lost Continent: Travels in Small Town America,Bill Bryson,1989.0,Harpercollins
0060163704,0.9,Coyote Waits,Tony Hillerman,1990.0,Harpercollins
0060163747,2.0,Return to Love: Reflections on the Principles of a Course in Miracles,Marianne Williamson,1992.0,Harpercollins
0060163976,1.6666666666666667,Family Pictures: A Novel,Sue Miller,1990.0,Harpercollins
0060165979,1.411764705882353,Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life,Thomas Moore,1992.0,HarperCollins Publishers
0060165987,0.4166666666666667,Slow Hand: Women Writing Erotica,Michele Slung,1992.0,Harpercollins
006016767X,2.4166666666666665,Sacred Clowns,Tony Hillerman,1993.0,Harpercollins
0060167688,2.7,After All These Years,Susan Isaacs,1993.0,Harpercollins
0060168013,2.3548387096774195,Pigs in Heaven,Barbara Kingsolver,1993.0,Harpercollins
0060168382,1.3636363636363635,"Eat More, Weigh Less: Dr. Dean Ornish's Life Choice Program for Losing Weight Safely While Eating Abundantly","Dean, M.D. Ornish",1993.0,Harpercollins
006016848X,2.5454545454545454,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992.0,HarperCollins Publishers
0060169281,1.9375,Soul Mates: Honoring the Mysteries of Love and Relationship,Thomas Moore,1994.0,Harpercollins
0060171316,1.2857142857142858,Mr. Ives' Christmas,Oscar Hijuelos,1995.0,Harpercollins
006017143X,4.6,The Night Listener,Armistead Maupin,2000.0,HarperCollins Publishers
0060171626,1.7272727272727273,What Your Mother Couldn't Tell You and Your Father Didn't Know: Advanced Relationship Skills for Better Communication and Lasting Intimacy,John Gray,1994.0,HarperCollins Publishers
0060171928,2.88,Mutant Message Down Under,Marlo Morgan,1994.0,Harpercollins
0060172126,2.2,"Mars and Venus in the Bedroom : Guide to Lasting Romance and Passion, A",John Gray,1995.0,HarperCollins
0060172916,2.8260869565217392,High Tide in Tucson: Essays from Now or Never,Barbara Kingsolver,1995.0,HarperCollins Publishers
0060173076,1.9230769230769231,"How Could You Do That: The Abdication of Character, Courage, and Conscience",Laura Schlessinger,1996.0,Harpercollins
0060173289,3.0927835051546393,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996.0,HarperCollins
0060175400,3.185840707964602,The Poisonwood Bible,Barbara Kingsolver,1999.0,HarperCollins
0060175532,2.4285714285714284,Young Wives,Olivia Goldsmith,2000.0,HarperCollins Publishers
0060175680,1.9444444444444444,Switcheroo,Olivia Goldsmith,1998.0,HarperCollins Publishers
0060175818,4.125,The First Eagle,Tony Hillerman,1998.0,Harpercollins
0060175966,4.642857142857143,The Professor and the Madman,Simon Winchester,1998.0,HarperCollins Publishers
0060176075,1.25,Lily White,Susan Isaacs,1996.0,Harpercollins
0060176083,2.090909090909091,"Red, White and Blue",Susan Isaacs,1998.0,HarperCollins Publishers
006017613X,2.269230769230769,"Nora, Nora: A Novel",Anne Rivers Siddons,2000.0,HarperCollins Publishers
0060176148,1.4,Fault Lines,Anne Rivers Siddons,1995.0,Harpercollins
0060176156,2.1666666666666665,Up Island,Anne Rivers Siddons,1997.0,HarperCollins Publishers
0060176164,1.5384615384615385,Low Country: A Novel,Anne Rivers Siddons,1998.0,HarperCollins Publishers
0060176806,1.6470588235294117,Love in Another Town,Barbara Taylor Bradford,1995.0,Harpercollins
0060177217,0.9,Her Own Rules,Barbara Taylor Bradford,1996.0,Harpercollins
0060177225,0.8666666666666667,Dangerous to Know,Barbara Taylor Bradford,1995.0,Harpercollins
0060177233,1.4166666666666667,Everything to Gain,Barbara Taylor Bradford,1994.0,Harpercollins
0060177349,3.5,Star Trek Memories,William Shatner,1993.0,Harpercollins
006017773X,2.15,The Fallen Man,Tony Hillerman,1996.0,HarperCollins
0060177888,3.1538461538461537,All I Know About Animal Behavior I Learned in Loehmann's Dressing Room,Erma Bombeck,1995.0,Harpercollins
0060178221,1.0909090909090908,The Bestseller,Olivia Goldsmith,1996.0,Harpercollins
0060179341,1.6666666666666667,Downtown,Anne Rivers Siddons,1994.0,Harpercollins
0060182687,1.25,Power of a Woman,Barbara Taylor Bradford,1997.0,Harpercollins
006018311X,2.7333333333333334,"When You Look Like Your Passport Photo, It's Time to Go Home",Erma Bombeck,1991.0,Harpercollins
0060183713,0.9090909090909091,Consuming Passions: A Food-Obsessed Life,Michael Lee West,1999.0,HarperCollins Publishers
0060184957,3.24,"Pride, Prejudice and Jasmin Field : A Novel",Melissa Nathan,2001.0,Avon Trade
0060185074,1.64,The Vendetta Defense,Lisa Scottoline,2001.0,HarperCollins Publishers
0060185147,1.8518518518518519,Courting Trouble,Lisa Scottoline,2002.0,HarperCollins Publishers
006018552X,4.0,To Cut a Long Story Short,Jeffrey Archer,2000.0,HarperCollins Publishers
0060185708,3.2142857142857144,The Reluctant Suitor,Kathleen E. Woodiwiss,2003.0,William Morrow
006018650X,0.896551724137931,A Secret Affair,Barbara Taylor Bradford,1996.0,Harpercollins
0060186526,2.0,Marrying Mom,Olivia Goldsmith,1996.0,Harpercollins
0060187271,3.25,The Last Report on the Miracles at Little No Horse,Louise Erdrich,2001.0,HarperCollins Publishers
0060187476,2.3076923076923075,Mistaken Identity,Lisa Scottoline,1999.0,Harpercollins
0060188731,3.7313432835820897,Bel Canto,Ann Patchett,2001.0,HarperCollins Publishers
0060188952,3.2,Bread Alone,Judith Ryan Hendricks,2001.0,William Morrow & Company
0060191058,1.263157894736842,The Bachelor's Cat: A Love Story,L. F. Hoffman,1997.0,HarperCollins Publishers
0060191538,4.25,"Perfect Murder, Perfect Town",Lawrence Schiller,1999.0,Harpercollins
0060191813,2.2,Orchid Beach,Stuart Woods,1998.0,Harpercollins
0060191821,3.8,Worst Fears Realized,Stuart Woods,1999.0,Harpercollins
0060191872,1.6363636363636365,The Run: A Novel,Stuart Woods,2000.0,HarperCollins Publishers
0060191929,3.4615384615384617,The Saving Graces : A Novel,Patricia Gaffney,1999.0,HarperCollins
0060191988,3.52,A Night Without Armor : Poems,Jewel,1998.0,HarperCollins
0060192119,2.26,As Nature Made Him: The Boy Who Was Raised As a Girl,John Colapinto,2000.0,HarperCollins Publishers
0060192356,1.8181818181818181,Other Worlds,Barbara Michaels,1999.0,HarperCollins Publishers
0060192631,1.7272727272727273,One Heart,Jane McCafferty,1999.0,HarperCollins Publishers
0060192704,4.476190476190476,"Beauty Fades, Dumb Is Forever: The Making of a Happy Woman",Judy Sheindlin,1999.0,Cliff Street Books
0060192895,1.8095238095238095,Hunting Badger,Tony Hillerman,1999.0,HarperCollins Publishers
0060193123,2.1,The Bingo Queens of Paradise,June Park,1999.0,Cliff Street Books
0060193395,3.56,Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,1999.0,HarperCollins
0060193611,3.5454545454545454,The Map That Changed the World: William Smith and the Birth of Modern Geology,Simon Winchester,2001.0,HarperCollins
0060193751,2.5,Circle of Three,Patricia Gaffney,2000.0,HarperCollins Publishers
006019393X,4.181818181818182,If the Gods Had Meant Us to Vote They Would Have Given Us Candidates,Jim Hightower,2000.0,HarperCollins Publishers
006019443X,4.0,"The Sinister Pig (Hillerman, Tony)",Tony Hillerman,2003.0,HarperCollins
0060194448,5.1923076923076925,The Wailing Wind,Tony Hillerman,2002.0,HarperCollins Publishers
0060194790,3.5454545454545454,Waiting : The True Confessions of a Waitress,Debra Ginsberg,2000.0,HarperCollins Publishers
006019491X,2.9367088607594938,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,1999.0,HarperCollins
006019538X,2.909090909090909,LA Cucina: A Novel of Rapture,Lily Prior,2000.0,HarperCollins Publishers
006019541X,2.6,Blue Angel,Francine Prose,2000.0,HarperCollins Publishers
0060195444,2.7,River Town: Two Years on the Yangtze,Peter Hessler,2001.0,HarperCollins Publishers
0060195460,3.1333333333333333,"Keep It Simple, Stupid: You're Smarter Than You Look",Judy Sheindlin,2000.0,HarperCollins Publishers
0060195622,2.923076923076923,Set This House in Order: A Romance of Souls,Matt Ruff,2003.0,HarperCollins
0060195703,1.875,Long Time No See,Susan Isaacs,2001.0,HarperCollins Publishers
0060195827,3.090909090909091,Paradise Alley: A Novel (Today Show Book Club #6),Kevin Baker,2002.0,HarperCollins
0060195932,1.9,Singing My Him Song,Malachy McCourt,2000.0,HarperCollins Publishers
0060196092,3.6818181818181817,Moment of Truth,Lisa Scottoline,2000.0,HarperCollins Publishers
0060196122,4.357142857142857,Veronika Decides to Die,Paulo Coelho,2000.0,HarperCollins Publishers
0060196246,2.1666666666666665,Wild Justice,Phillip Margolin,2000.0,HarperCollins Publishers
0060198125,2.7857142857142856,Coastliners : A Novel,Joanne Harris,2002.0,William Morrow
0060198133,3.627906976744186,Five Quarters of the Orange,Joanne Harris,2001.0,William Morrow & Company
0060198303,4.6923076923076925,"The Burglar on the Prowl (Block, Lawrence)",Lawrence Block,2004.0,William Morrow
0060198346,2.2333333333333334,The Sky Is Falling,Sidney Sheldon,2000.0,William Morrow & Company
0060198702,5.6923076923076925,Murder Boogies with Elvis,Anne George,2001.0,William Morrow & Company
0060198753,1.4,Moving Target,Elizabeth Lowell,2001.0,William Morrow & Company
0060199563,1.6923076923076923,Thief of Time,Terry Pratchett,2001.0,HarperCollins Publishers
0060199598,1.1538461538461537,Little Bitty Lies,Mary Kay Andrews,2003.0,HarperCollins
0060199652,3.3854166666666665,Prodigal Summer,Barbara Kingsolver,2000.0,HarperCollins
0060229357,3.0,Harold and the Purple Crayon 50th Anniversary Edition,Crockett Johnson,1955.0,HarperCollins
0060234814,4.6923076923076925,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia)",C. S. Lewis,1994.0,HarperCollins
0060248025,6.705882352941177,Falling Up,Shel Silverstein,1996.0,HarperCollins
0060254920,5.769230769230769,Where the Wild Things Are,Maurice Sendak,1988.0,HarperCollins
0060256656,5.689655172413793,The Giving Tree,Shel Silverstein,1964.0,HarperCollins Publishers
0060256672,7.5,Where the Sidewalk Ends : Poems and Drawings,Shel Silverstein,1974.0,HarperCollins
0060256737,5.655172413793103,A Light in the Attic,Shel Silverstein,1981.0,HarperCollins
0060263857,5.588235294117647,Charlotte's Web,E. B. White,1952.0,Harpercollins Juvenile Books
0060280921,3.3,Abarat,Clive Barker,2002.0,Joanna Cotler
0060283130,4.3076923076923075,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,1999.0,HarperCollins
0060294655,3.2,"Princess in the Spotlight (The Princess Diaries, Vol. 2)",Meg Cabot,2001.0,HarperCollins
0060294671,6.090909090909091,"Princess in Love (The Princess Diaries, Vol. 3)",Meg Cabot,2002.0,HarperCollins
0060391448,4.296296296296297,Wicked : The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995.0,HarperCollins
0060391480,2.0,Microserfs,Douglas Coupland,1995.0,Harpercollins
0060391502,2.238095238095238,The Zone: A Dietary Road Map to Lose Weight Permanently : Reset Your Generic Code : Prevent Disease : Achieve Maximum Physical Performance,Barry Sears,1995.0,ReganBooks
0060391553,2.1578947368421053,Enter Whining,Fran Drescher,1996.0,Harpercollins
0060391626,3.1940298507462686,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998.0,Regan Books
0060391677,3.142857142857143,Miss America,Howard Stern,1995.0,Harpercollins
0060391782,1.8571428571428572,Girlfriend in a Coma,Douglas Coupland,1998.0,ReganBooks
0060391839,2.7777777777777777,In Contempt,Christopher A. Darden,1996.0,Harpercollins
0060391901,2.6363636363636362,Mastering the Zone: The Next Step in Achieving SuperHealth and Permanent Fat Loss,Barry Sears,1996.0,ReganBooks
0060392096,2.0714285714285716,Vendetta: Lucky's Revenge,Jackie Collins,1997.0,Harpercollins
0060392452,4.038095238095238,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002.0,Regan Books
0060392827,3.736842105263158,Confessions of an Ugly Stepsister,Gregory Maguire,1999.0,ReganBooks
0060392991,4.333333333333333,Have a Nice Day : A Tale of Blood and Sweatsocks,Mick Foley,1999.0,ReganBooks
0060393211,2.5714285714285716,Running in Heels: A Novel,Anna Maxted,2001.0,ReganBooks
0060393823,1.5357142857142858,Lost,Gregory Maguire,2001.0,ReganBooks
006039384X,3.3684210526315788,Mirror Mirror: A Novel,Gregory Maguire,2003.0,Regan Books
0060394447,1.375,Tommy's Tale: A Novel,Alan Cumming,2002.0,Regan Books
0060502177,1.4545454545454546,To Wed a Stranger,Edith Layton,2003.0,Avon
0060502258,3.150170648464164,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002.0,HarperTorch
0060502312,1.4375,Breaking All the Rules (Avon Light Contemporary Romances),Sue Civil-Brown,2002.0,Avon
0060504072,4.466666666666667,Small Wonder: Essays,Barbara Kingsolver,2002.0,HarperCollins
0060504080,3.4210526315789473,Small Wonder : Essays,Barbara Kingsolver,2003.0,Perennial
0060504110,2.45,Die in Plain Sight,Elizabeth Lowell,2004.0,Avon Books
0060505249,1.7058823529411764,Where's My Hero?,Lisa Kleypas,2003.0,Avon Books
0060505257,4.4,The Archer's Tale,Bernard Cornwell,2002.0,HarperTorch
0060505729,2.909090909090909,The Perfect Lover,Stephanie Laurens,2004.0,Avon
0060505885,2.6379310344827585,The Scandalous Summer of Sissy LeBlanc : A Novel,Loraine Despres,2002.0,Perennial
0060506067,3.2,Clara Callan : A Novel,Richard B. Wright,2002.0,HarperCollins
0060506679,5.9,Every Secret Thing : A Novel,Laura Lippman,2003.0,William Morrow
0060506989,1.2258064516129032,We Were Soldiers Once... and Young: Ia Drang--The Battle That Changed the War in Vietnam,Harold G. Moore,2002.0,HarperTorch
0060507365,1.9090909090909092,When Strangers Marry,Lisa Kleypas,2002.0,Avon Books
0060507403,2.8260869565217392,The Cheese Monkeys : A Novel in Two Semesters,Chip Kidd,2002.0,Perennial
0060507772,5.7,The Last Hero : A Discworld Fable,Terry Pratchett,2002.0,Eos
0060507845,2.40625,"A Promising Man (and About Time, Too)",Elizabeth Young,2002.0,Avon Trade
0060508108,1.2380952380952381,Duchess in Love,Eloisa James,2002.0,Avon
0060508183,0.8125,Fatal Flaw,William Lashner,2004.0,HarperTorch
0060508302,3.342857142857143,Angels Everywhere: A Season of Angels/Touched by Angels (Avon Romance),Debbie MacOmber,2002.0,Avon Books
006050918X,4.0,City of the Beasts,Isabel Allende,2002.0,HarperCollins
0060509392,3.9285714285714284,Mrs. Kimble : A Novel,Jennifer Haigh,2003.0,William Morrow
0060509406,2.75,Mrs. Kimble : A Novel,Jennifer Haigh,2004.0,Perennial
0060509465,1.8888888888888888,The Thing About Men (Avon Romance),Elizabeth Bevarly,2003.0,Avon
0060509546,2.1818181818181817,Tropic of Night,Michael Gruber,2003.0,William Morrow
0060510323,4.1,LA Ciudad De Las Bestias,Isabel Allende,2003.0,Rayo
0060511508,2.9393939393939394,The Further Observations of Lady Whistledown,Julia Quinn,2003.0,Avon
0060512377,1.3043478260869565,Does She or Doesn't She?,Alisa Kwitney,2003.0,Avon Trade
0060512806,3.2777777777777777,Cryptonomicon,Neal Stephenson,2002.0,Avon Books
0060512822,2.91025641025641,The Poisonwood Bible,Barbara Kingsolver,2003.0,HarperTorch
0060513640,3.6578947368421053,One Night of Scandal,Teresa Medeiros,2003.0,Avon Books
0060514930,2.9393939393939394,"Dead Ringer (Scottoline, Lisa)",Lisa Scottoline,2003.0,HarperCollins
0060514949,3.7857142857142856,Dead Ringer,Lisa Scottoline,2004.0,HarperTorch
0060514957,3.8,"Killer Smile (Scottoline, Lisa)",Lisa Scottoline,2004.0,HarperCollins
0060516283,3.2666666666666666,Gallow's Thief,Bernard Cornwell,2003.0,HarperTorch
0060517212,2.0,If the Slipper Fits (Avon Romance),Elaine Fox,2003.0,Avon
0060517611,2.6,The Lady in Question,Victoria Alexander,2003.0,Avon
0060517794,3.2241379310344827,Little Altars Everywhere,Rebecca Wells,2003.0,HarperTorch
0060519134,5.166666666666667,Savannah Blues,Mary Kay Andrews,2003.0,Perennial
0060520507,2.869565217391304,"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003.0,William Morrow
